Year Make Model,Image,VIN,Location,QR Code
2018 Nissan Sentra 1.8 SV (CVT) 4dr Sedan,https://images.edealer.ca/18/122146162.jpeg,3N1AB7AP2JY311748,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=3N1AB7AP2JY311748&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2013 Nissan Rogue SV 4dr All-Wheel Drive,https://images.edealer.ca/18/122145789.jpeg,JN8AS5MV4DW107724,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=JN8AS5MV4DW107724&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2017 Nissan Rogue SL Platinum 4dr All-Wheel Drive,https://images.edealer.ca/18/122129526.jpeg,5N1AT2MV0HC797675,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=5N1AT2MV0HC797675&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2021 Lexus NX 300 4dr All-Wheel Drive,https://images.edealer.ca/18/121991972.jpeg,JTJGARDZ2M2256642,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=JTJGARDZ2M2256642&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2020 Nissan Kicks SV (CVT) 4dr Front-Wheel Drive,https://images.edealer.ca/18/121933609.jpeg,3N1CP5CV3LL538313,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=3N1CP5CV3LL538313&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2018 Nissan Qashqai SL (CVT) 4dr All-Wheel Drive,https://images.edealer.ca/18/121933753.jpeg,JN1BJ1CR8JW262520,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=JN1BJ1CR8JW262520&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2018 Nissan Rogue SV 4dr All-Wheel Drive,https://images.edealer.ca/18/121814697.jpeg,5N1AT2MV5JC837190,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=5N1AT2MV5JC837190&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2021 Nissan Rogue SV 4dr All-Wheel Drive,https://images.edealer.ca/18/121693091.jpeg,5N1AT3BB7MC716664,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=5N1AT3BB7MC716664&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2018 Nissan Rogue S 4dr Front-Wheel Drive,https://images.edealer.ca/18/121625495.jpeg,5N1AT2MT0JC850976,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=5N1AT2MT0JC850976&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
2018 Nissan Versa Note 1.6 SR (CVT) 4dr Hatchback 2018.5,https://images.edealer.ca/18/121625673.jpeg,3N1CE2CPXJL367059,7200 Yonge,<img src="https://chart.googleapis.com/chart?cht=qr&chs=250x250&chl=3N1CE2CPXJL367059&style=197&type=C128B&width=271&height=50&xres=1&font=3" />
